id,Position,Track Name,Artist,Popularity
1,1,HISS,Megan Thee Stallion,78
2,2,redrum,21 Savage,94
3,3,Stick Season,Noah Kahan,97
4,4,Lovin On Me,Jack Harlow,99
5,5,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,94
6,6,Never Lose Me,Flo Milli,90
7,7,My Love Mine All Mine,Mitski,99
8,8,Beautiful Things,Benson Boone,89
9,9,La Diabla,Xavi,99
10,10,Big Foot,Nicki Minaj,0
11,11,Igual Que Un Ángel (with Peso Pluma),Kali Uchis,94
12,12,greedy,Tate McRae,100
13,13,Cruel Summer,Taylor Swift,99
14,14,Lose Control,Teddy Swims,91
15,15,Something in the Orange,Zach Bryan,91
16,16,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,96
17,17,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,98
18,18,Surround Sound (feat. 21 Savage & Baby Tate),JID,94
19,19,"yes, and?",Ariana Grande,97
20,20,La Víctima,Xavi,96
21,21,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,93
22,22,Spin You Around (1/24),Morgan Wallen,74
23,23,500lbs,Lil Tecca,87
24,24,Last Night,Morgan Wallen,86
25,25,Agora Hills,Doja Cat,86
26,26,FTCU,Nicki Minaj,91
27,27,I KNOW ?,Travis Scott,92
28,28,IDGAF (feat. Yeat),Drake,92
29,29,act ii: date @ 8,4batz,87
30,30,Feather,Sabrina Carpenter,93
31,31,née-nah,21 Savage,90
32,32,Snooze,SZA,93
33,33,Pink + White,Frank Ocean,92
34,34,Paint The Town Red,Doja Cat,88
35,35,Murder On The Dancefloor,Sophie Ellis-Bextor,92
36,36,See You Again (feat. Kali Uchis),"Tyler, The Creator",92
37,37,No Role Modelz,J. Cole,91
38,38,ONE CALL,Rich Amiri,79
39,39,First Person Shooter (feat. J. Cole),Drake,90
40,40,fukumean,Gunna,93
41,41,vampire,Olivia Rodrigo,95
42,42,Lovers Rock,TV Girl,91
43,43,Thinkin’ Bout Me,Morgan Wallen,87
44,44,Shut up My Moms Calling,Hotel Ugly,91
45,45,Heartless,Kanye West,91
46,46,FE!N (feat. Playboi Carti),Travis Scott,91
47,47,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,95
48,48,Que Onda,Calle 24,94
49,49,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,92
